"sigun_cd","sigun_nm","thrcf_grd1_livng_ppltn_cnt","thrcf_grd2_livng_ppltn_cnt","thrcf_grd3_livng_ppltn_cnt","thrcf_grd4_livng_ppltn_cnt","thrcf_grd5_livng_ppltn_cnt","thrcf_grd6_livng_ppltn_cnt","thrcf_grd7_livng_ppltn_cnt","thrcf_grd8_livng_ppltn_cnt","thrcf_grd9_livng_ppltn_cnt","thrcf_grd10_livng_ppltn_cnt","whol_livng_ppltn_cnt","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"3117 ",의왕시,302999.0221639560,56859.8507950290,26904.5169039530,36236.1448221480,18051.3348217050,30522.1823561970,26825.9027401340,97373.6961102040,105829.9196987070,203088.4717806390,904691.0421926720,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3157 ",가평군,17386.8018356690,3459.5069315690,4831.8830410920,2926.8070137030,3778.5958356410,3095.1538629630,2949.4857259940,4007.7084932090,19097.3441095620,110881.4769047490,172414.7637541510,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3109 ",안산시,968004.1880328410,181873.9584115560,108860.7786299900,71861.0701374320,49371.5276990550,227923.7822191940,332297.4611777648,315091.0726582850,432157.9995342720,549493.8864101620,3236935.7249105518,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3107 ",평택시,1064647.9316707130,101611.2413429830,25405.6284378500,23034.3634515620,28798.5489313950,371859.2638632689,188676.9990963810,71445.6028765970,337071.5892629150,534089.3623294360,2746640.5312631009,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3114 ",오산시,364021.9130697648,112642.9920274160,51537.6361092970,45839.7997809040,42585.4312876730,113793.4011775830,79028.0328756490,80176.2774792230,115145.7080831580,233045.5028780210,1237816.6947686888,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3101 ",수원시,1628330.7855373629,827150.7167960840,418417.7082470449,189786.2141087650,259864.1654230420,304914.2885746739,574863.7236168499,393912.5374251680,594199.8652606680,1058579.7799735050,6250019.7849631636,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3158 ",양평군,37624.8952600650,10017.0006300240,6917.1173150070,6724.2753974770,8741.0241097900,6237.4881095290,7985.9913700610,12208.3572330710,72870.2790140180,169873.2427676580,339199.6712067000,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3116 ",군포시,465334.0984577010,154818.2534785529,55092.8658893850,85250.4280826460,31594.4840545640,51499.2504928550,28395.1340552260,122068.2798896370,138618.2350686700,299470.7915608870,1432141.8210301239,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3123 ",김포시,830558.1844182070,130733.8089029340,45349.1815612970,28989.7856448220,28333.9351782560,111953.3095883599,137662.4320541460,112754.8668211390,154589.6279993240,373998.1131247320,1954923.2452932169,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3105 ",부천시,922882.5629279009,568929.6907128000,323637.0800273518,179428.6684117010,154203.9184107960,202179.7544120930,348088.6430094760,313108.0670142209,368779.2322476849,600729.8208725739,3981967.4380465984,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3102 ",성남시,1604524.9512527459,637437.0987171448,297080.2196976750,338650.4992341600,138024.9144931340,286242.1512331270,251879.2850425350,274480.5977276340,736149.6388236960,446629.2656977599,5011098.6219196116,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3126 ",양주시,175074.2479756060,151083.7811507340,215432.7086844460,151078.9274243630,34509.0885474190,50480.2985749000,201314.2718354140,139290.2479180820,221472.8070670210,47402.4475351580,1387138.8267131430,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3112 ",구리시,308503.6859714330,80337.7571232450,27770.7578091180,17591.2884930420,21606.4238905200,90013.4790959630,77969.1292060570,83098.8458077990,94981.2138894989,165683.4775348970,967556.0588215729,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3108 ",동두천시,4484.0878898500,1257.5176985840,814.1843835160,1121.5303835990,349.8431506910,737.6778356140,1419.5063014890,1898.6000000890,5236.8643016730,19791.2050958760,37111.0170409810,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3120 ",파주시,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3119 ",용인시,2071848.9263915209,343963.4276998580,222502.2627107840,88847.5081082730,91536.2696989450,155516.4000011270,117643.9966034540,628960.1552852830,593372.5962440509,1336654.7055572999,5650846.2483005957,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3128 ",여주시,60176.3557531960,15594.5288216860,5256.2593151610,4774.9701369210,3050.4343287510,2982.2210684300,2883.5967397980,10337.4952600550,108225.7855079980,155309.0227673900,368590.6696993860,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3124 ",화성시,2001267.0885814900,281800.7058641710,139138.0295334730,40693.2229034800,82709.9976992130,181494.8767385889,467590.0470431098,289174.7866568710,448005.2954239270,738794.9123797160,4670668.9628240397,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3122 ",안성시,228425.8495881090,24937.8830962510,21241.1253974760,11427.9961919330,20461.8839179280,14370.4837532410,14808.6953147080,128109.3183549830,128398.9401904790,256650.6241095840,848832.7999146920,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3110 ",고양시,734523.0469594260,131981.7881919160,68060.5406849440,67917.7543285550,34013.0298901090,95497.8909325460,175174.1951224380,173248.3296170710,194158.4092597130,389816.3773107419,2064391.3622974599,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3118 ",하남시,721609.4316958700,128644.0941093050,51719.2191785140,46356.3217272070,18600.1054519980,37363.7416166510,46487.0403559620,187128.6199711840,178499.7853162750,436684.4766535520,1853092.8360765180,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3104 ",안양시,774306.6778637710,308054.2902734098,181195.6687124110,99866.8111522340,135414.0133983560,97234.8404930100,165072.5244102220,224294.0756969400,230789.3063020170,577938.8192903170,2794167.0275926878,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3115 ",시흥시,858442.5688513220,147313.4673154440,56329.8719729950,85032.6530956380,48737.2507944630,154176.1655880620,263916.2744648900,181238.6553975040,244173.7703565840,518065.5952872829,2557426.2731241849,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3111 ",과천시,122567.8846018860,30834.8549853140,14123.9838080420,18280.3001647450,6461.0414796220,11172.4980271520,20549.7690410870,43126.1272608450,43937.7894520640,88077.9820541289,399132.2308748859,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3103 ",의정부시,782250.2382740740,242926.7379445840,104725.6862192910,90807.2235886920,63819.3609037610,60490.9464392620,101158.0174786820,343685.7338618119,257460.7107099560,529589.1640828760,2576913.8195029899,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3121 ",이천시,229894.7753417100,31477.0695610970,13261.3805754750,6907.0685479140,8590.4938079890,9239.6300824390,58243.4047666119,138653.8762185780,150533.6173151470,239072.0462460490,885873.3624630099,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3127 ",포천시,57875.5784107530,13986.2005203110,10225.8349862280,14277.6436167510,10655.6787672860,9757.9196164280,22787.9727120170,68772.5521642580,99288.0869319470,199130.6213966450,506758.0891226240,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3113 ",남양주시,1363629.7000558728,271324.8493971159,125678.5991502959,126366.9203271290,63566.3148497190,77098.1791501930,140330.4181105370,476493.9200548580,602447.7320272950,1136635.4669659260,4383572.1000889416,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3106 ",광명시,531081.7748228320,147097.6751517280,74578.6144663080,41633.6384652080,43895.3856978170,58608.9098899290,116063.4063028460,82158.2156442550,120760.5769580830,255473.1134496550,1471351.3108486610,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
"3125 ",광주시,416444.9698906740,115978.2714243340,59778.1386306030,65518.8230680010,43382.8596166180,36168.1919175530,78350.3040551040,190214.8618368960,413435.7535619980,717147.1622747989,2136419.3362765799,system,2025-07-09 20:31:22.219,system,2025-07-09 20:31:22.219
