"objectid","crtr_ymd","sigun_cd","sigun_nm","sigun_ppltn_cnt","age5udr_ppltn_cnt","snctz_ppltn_cnt","pwdbs_ppltn_cnt","hril_ppltn_cnt","chds_ppltn_cnt","mm_avg_earn_amt","aninc20mw_orls_ppltn_cnt","age5udr_ppltn_rt","snctz_ppltn_rt","pwdbs_ppltn_rt","hril_ppltn_rt","chds_ppltn_rt","sigun_mm_avg_earn_amt","aninc20mw_orls_ppltn_rt","age5udr_ppltn_idx","snctz_ppltn_idx","pwdbs_ppltn_idx","hril_ppltn_idx","chds_ppltn_idx","mm_avg_earn_idx","aninc20mw_orls_ppltn_idx","age5udr_ppltn_scr","snctz_ppltn_scr","pwdbs_ppltn_scr","hril_ppltn_scr","chds_ppltn_scr","mm_avg_earn_scr","aninc20mw_orls_ppltn_scr","vsp_vul_scr","hlth_vul_scr","ecny_vul_scr","clim_vul_snths_scr","age5udr_ppltn_scr_rnk","snctz_ppltn_scr_rnk","pwdbs_ppltn_scr_rnk","hril_ppltn_scr_rnk","chds_ppltn_scr_rnk","mm_avg_earn_scr_rnk","aninc20mw_orls_ppltn_scr_rnk","vsp_vul_scr_rnk","hlth_vul_scr_rnk","ecny_vul_scr_rnk","clim_vul_snths_scr_rnk","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
1,"20240630","31010",수원시,1196959,33243,162893,25472,1099,6632,3675156,17,0.027772881,0.136089039,0.021280595,0.000918160,0.005540708,3675155.53,16.694484084,0.0118971542,0.0554123698,0.0091450802,0.0003985689,0.0023996570,6.5652758408,1.2478379045,63.4349133880,84.9420155913,84.3825744079,63.8310607323,88.4742004912,51.9562771932,37.2706858086,77.5865011291,76.1526306117,44.6134815009,66.1175377472,14,27,29,6,21,24,21,31,11,23,21,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
2,"20240630","31020",성남시,917192,24285,157114,20302,580,8313,4114862,11,0.026477553,0.171298921,0.022134951,0.000632365,0.009063533,4114861.87,10.607675317,0.0113494568,0.0686677432,0.0095082389,0.0002745458,0.0039185113,6.6143553669,1.0647452518,67.9434533652,67.6985990472,82.1690373447,78.3940073936,76.6696752684,72.5698688238,61.2549827321,72.6036965857,77.5318413310,66.9124257780,72.3493212316,16,16,28,12,7,30,30,28,12,30,30,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
3,"20240630","31030",의정부시,461193,11996,84331,12870,135,1669,3099777,24,0.026010802,0.182854033,0.027905888,0.000292719,0.003618875,3099777.39,23.988372543,0.0111519333,0.0729311549,0.0119533536,0.0001271077,0.0015688206,6.4913306465,1.3977379721,69.5694285967,62.1524872027,67.2654905578,95.7063651055,94.9314551959,20.8990082308,17.6344651479,66.3291354524,95.3189101507,19.2667366894,60.3049274308,18,8,14,27,27,9,8,18,30,9,18,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
4,"20240630","31040",안양시,546542,15188,93317,12236,121,3192,3657928,15,0.027789264,0.170740766,0.022388255,0.000221392,0.005840356,3657927.99,15.259968323,0.0119040769,0.0684607412,0.0096158519,0.0000961387,0.0025290564,6.5632352708,1.2111196952,63.3779267428,67.9678801613,81.5131108583,99.3427854242,87.4685095910,51.0992298437,42.0806026513,70.9529725875,93.4056475076,46.5899162475,70.3161787809,13,18,25,30,20,23,25,25,28,25,28,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
5,"20240630","31050",부천시,774474,17995,139208,21277,1682,24974,3287984,21,0.023235125,0.179745221,0.027472840,0.002171797,0.032246402,3287984.34,20.576681026,0.0099754398,0.0717882266,0.0117703505,0.0009421765,0.0137833778,6.5169298726,1.3339846413,79.2540970715,63.6392796477,68.3809372376,0.0000000000,0.0000000000,31.6507826640,25.9858587834,70.4247713189,0.0000000000,28.8183207237,33.0810306809,22,9,16,1,1,13,13,23,1,12,1,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
6,"20240630","31060",광명시,278458,7242,48164,7189,96,1053,3575108,17,0.026007513,0.172966839,0.025817179,0.000344756,0.003781540,3575107.96,16.642480165,0.0111505409,0.0692857343,0.0110699677,0.0001496997,0.0016392044,6.5532892820,1.2465596379,69.5808909437,66.8946777801,72.6499342521,93.0535812811,94.3844327499,46.9218758893,37.4381328685,69.7085009920,93.7190070155,42.1800043789,68.5358374621,19,13,22,25,26,22,22,22,29,22,23,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
7,"20240630","31070",평택시,594191,20474,80367,16048,768,3803,3441263,17,0.034456934,0.135254489,0.027008151,0.001292514,0.006400299,3441262.61,16.715717729,0.0147124150,0.0550932278,0.0115738903,0.0005609691,0.0027707571,6.5367179425,1.2483587519,40.2602267489,85.3571753642,69.5784082919,44.7618350796,85.5900133346,39.9618489437,37.2024571889,65.0652701350,65.1759242071,38.5821530663,56.2744491361,5,28,18,3,16,17,20,12,3,20,13,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
8,"20240630","31080",동두천시,87499,1515,21854,3802,77,699,2764212,33,0.017314484,0.249762854,0.043451925,0.000880010,0.007988663,2764212.37,32.571872620,0.0074552276,0.0968276124,0.0184724447,0.0003820154,0.0034556474,6.4415715634,1.5259755666,100.0000000000,31.0664849141,27.5301037929,65.7747893042,80.2670501093,0.0000000000,0.8359290012,52.8655295690,73.0209197068,0.4179645006,42.1014712588,31,6,4,8,9,1,2,7,7,1,4,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
9,"20240630","31090",안산시,625274,13980,90949,20616,293,2784,3153181,22,0.022358198,0.145454633,0.032971145,0.000468595,0.004452448,3153181.39,21.681803443,0.0096030839,0.0589778930,0.0140881903,0.0002034604,0.0019293816,6.4987490922,1.3556775826,82.3192595637,80.3037605490,54.2531608234,86.7409414442,92.1291781633,24.0147842494,23.1441830693,72.2920603120,89.4350598038,23.5794836593,61.7688679250,25,26,9,20,24,10,11,27,24,11,20,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
10,"20240630","31100",고양시,1072125,27778,178693,23952,547,6356,3676227,16,0.025909292,0.166671797,0.022340679,0.000510202,0.005928413,3676227.46,15.772676376,0.0111089635,0.0669486993,0.0095956416,0.0002215213,0.0025670753,6.5654024927,1.2246023675,69.9231476565,69.9348386397,81.6362974904,84.6202076970,87.1730268245,52.0094714538,40.3144344807,73.8314279289,85.8966172608,46.1619529672,68.6299993856,20,20,26,18,18,25,24,29,18,24,24,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
11,"20240630","31110",과천시,84921,3921,12376,1297,32,340,4782605,5,0.046172325,0.145735448,0.015273018,0.000376821,0.004003721,4782604.94,4.874506593,0.0196032271,0.0590843501,0.0065828447,0.0001636204,0.0017353224,6.6796645988,0.7689713955,0.0000000000,80.1652746054,100.0000000000,91.4190017060,93.6374044739,100.0000000000,100.0000000000,60.0550915351,92.5282030900,100.0000000000,84.1944315417,1,25,31,24,25,31,31,10,27,31,31,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
12,"20240630","31120",구리시,186280,4485,32044,5108,279,1302,3476153,18,0.024076659,0.172020614,0.027421087,0.001497745,0.006989478,3476152.59,17.836589505,0.0103324676,0.0689352504,0.0117484748,0.0006499759,0.0030249327,6.5410989573,1.2750022735,76.3151127269,67.3506091012,68.5142745245,34.3105502376,83.6145618860,41.8018921817,33.7122781733,70.7266654508,58.9625560618,37.7570851775,55.8154355634,21,15,17,2,10,20,19,24,2,19,10,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
13,"20240630","31130",남양주시,684428,18600,117749,18019,792,4741,3391203,20,0.027175978,0.172040010,0.026327094,0.001157171,0.006926952,3391202.97,19.841536468,0.0116448541,0.0689424375,0.0112857938,0.0005022623,0.0029979657,6.5303539124,1.3189297326,65.5117994133,67.3412596252,71.3344236954,51.6552608971,83.8241498618,37.2889315372,27.9579827059,68.0624942447,67.7397053794,32.6234571215,56.1418855819,15,14,19,5,12,16,14,20,4,16,12,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
14,"20240630","31140",오산시,236847,7179,28324,6536,147,2162,3302950,20,0.030310707,0.119587751,0.027597028,0.000620654,0.009128256,3302949.97,19.619357745,0.0129682130,0.0490581383,0.0118228397,0.0002694629,0.0039463667,6.5189021270,1.3142751337,54.6181627011,93.2079962552,68.0610034186,78.9908419186,76.4531835726,32.4791371796,28.5677137969,71.9623874583,77.7220127456,30.5234254883,60.0692752307,10,30,15,13,6,14,17,26,13,15,16,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
15,"20240630","31150",시흥시,518716,17366,62379,14562,420,1283,3272833,20,0.033478821,0.120256557,0.028072359,0.000809692,0.002473415,3272833.48,19.671928790,0.0143015810,0.0493174944,0.0120236826,0.0003515023,0.0010728643,6.5149240415,1.3153810003,43.6421333321,92.8706096073,66.8368188715,69.3576775952,98.7860247566,30.8083258105,28.4228503498,67.7831872703,84.0718511759,29.6155880802,60.4902088421,7,29,13,9,30,12,16,19,16,14,19,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
16,"20240630","31160",군포시,258991,5928,45098,6428,54,1718,3470802,17,0.022888826,0.174129603,0.024819395,0.000208501,0.006633435,3470801.60,16.587312019,0.0098284345,0.0697160379,0.0106473361,0.0000905416,0.0028713513,6.5404299143,1.2451994685,80.4642164177,66.3349119381,75.2259731099,100.0000000000,84.8081956947,41.5208915151,37.6163088057,74.0083671552,92.4040978474,39.5686001604,68.6603550543,24,10,23,31,14,19,23,30,26,21,25,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
17,"20240630","31170",의왕시,155593,4898,27064,3647,38,1382,3722320,15,0.031479565,0.173940987,0.023439358,0.000244227,0.008882148,3722319.51,14.544040783,0.0134606286,0.0696462659,0.0100621144,0.0001060535,0.0038404372,6.5708137649,1.1915639271,50.5646924483,66.4256757658,78.7930364663,98.1785782874,77.2764668560,54.2822268088,44.6423184973,65.2611348935,87.7275225717,49.4622726530,67.4836433727,9,11,24,29,8,26,26,14,22,26,22,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
18,"20240630","31180",하남시,330003,11677,49164,7335,170,982,3906073,13,0.035384527,0.148980464,0.022227196,0.000515147,0.002975731,3906073.17,13.450951094,0.0151016704,0.0603126444,0.0095474311,0.0002236678,0.0012904243,6.5917404853,1.1598964313,37.0559507558,78.5674327033,81.9301516157,84.3681581425,97.0951495108,63.0715306900,48.7906150593,65.8511783583,90.7316538267,55.9310728746,70.8379683532,3,24,27,17,28,28,29,17,25,29,29,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
19,"20240630","31190",용인시,1082468,30091,170747,34075,617,5133,3939503,14,0.027798512,0.157738612,0.031479130,0.000569994,0.004741942,3939503.27,14.354117900,0.0119079847,0.0636105178,0.0134604452,0.0002474746,0.0020545317,6.5954415751,1.1862248711,63.3457584176,74.2773532677,58.0794144682,81.5727351526,91.1565124512,64.6260027987,45.3417103154,65.2341753845,86.3646238019,54.9838565571,68.8608852478,12,22,10,16,23,29,28,13,19,28,26,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
20,"20240630","31200",파주시,506269,16045,81049,13162,291,3313,3347711,21,0.031692638,0.160090782,0.025998037,0.000574793,0.006543952,3347710.84,21.450869180,0.0135503314,0.0644919758,0.0111465297,0.0002495578,0.0028327436,6.5247480685,1.3512331593,49.8262760576,73.1306977059,72.1832710891,81.3281234853,85.1082543929,34.9344553547,23.7263821209,65.0467482842,83.2181889391,29.3304187378,59.1984519870,8,21,20,15,15,15,12,11,15,13,15,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
21,"20240630","31210",이천시,222614,5887,38123,6787,280,1178,3443098,19,0.026444878,0.171251583,0.030487750,0.001257783,0.005291671,3443098.30,19.124176244,0.0113356318,0.0686501910,0.0130428335,0.0005459048,0.0022920843,6.5369495479,1.3037181121,68.0572579786,67.7214320430,60.6248554663,46.5307080817,89.3102551210,40.0591240744,29.9506351513,65.4678484960,67.9204816013,35.0048796129,56.1310699034,17,17,12,4,22,18,18,15,5,17,11,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
22,"20240630","31220",안성시,191677,4410,39446,6886,56,405,3007250,24,0.023007455,0.205794122,0.035925020,0.000292158,0.002112930,3007250.50,23.662629338,0.0098787987,0.0812731626,0.0153283223,0.0001268641,0.0009166656,6.4781697499,1.3920393758,80.0496283589,51.3006833521,46.6942659497,95.7349620067,100.0000000000,15.3713805225,18.3809550924,59.3481925535,97.8674810033,16.8761678074,58.0306137881,23,7,7,28,31,8,10,9,31,8,14,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
23,"20240630","31230",김포시,486017,16568,74098,15299,204,3374,3481889,20,0.034089343,0.152459688,0.031479130,0.000419738,0.006942144,3481888.52,19.831501883,0.0145580623,0.0616257430,0.0134604452,0.0001822518,0.0030045180,6.5418149866,1.3187205823,41.5308288269,76.8592722218,58.0794144682,89.2312739868,83.7732254086,42.1026272561,27.9853804405,58.8231718390,86.5022496977,35.0440038483,60.1231417950,6,23,10,23,11,21,15,8,20,18,17,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
24,"20240630","31240",화성시,953615,38667,101282,19695,575,2811,3885359,15,0.040547810,0.106208480,0.020652989,0.000602969,0.002947730,3885359.37,14.521656655,0.0172620396,0.0438369835,0.0088781117,0.0002617871,0.0012783000,6.5894313062,1.1909380725,19.2722065539,100.0000000000,86.0098099996,79.8921507519,97.1893799244,62.1016665096,44.7243025758,68.4273388512,88.5407653381,53.4129845427,70.1270295773,2,31,30,14,29,27,27,21,23,27,27,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
25,"20240630","31250",광주시,393286,11821,66459,10166,267,4357,3183612,24,0.030057007,0.168983895,0.025848873,0.000678895,0.011078452,3183611.64,23.757318128,0.0128612607,0.0678085278,0.0110833858,0.0002947404,0.0047848548,6.5029202197,1.3937035973,55.4985735053,68.8163200220,72.5681478309,76.0227273049,69.9364598295,25.7666740437,18.1629497175,65.6276804528,72.9795935672,21.9648118806,53.5240286335,11,19,21,11,4,11,9,16,6,10,9,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
26,"20240630","31260",양주시,280188,9785,48497,9394,85,2828,2963397,28,0.034922980,0.173087356,0.033526076,0.000303368,0.010093223,2963396.54,28.228171020,0.0149080305,0.0693303537,0.0143214385,0.0001317310,0.0043614574,6.4717899154,1.4658016398,38.6499575737,66.8366340506,52.8314586134,95.1634955303,73.2271015598,12.6918252519,8.7184371532,52.7726834126,84.1952985450,10.7051312025,49.2243710534,4,12,8,26,5,6,6,6,17,5,8,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
27,"20240630","31270",포천시,142365,2618,36108,6668,106,966,2837861,29,0.018389351,0.253629755,0.046837355,0.000744565,0.006785376,2837861.13,29.494822408,0.0079138495,0.0981692914,0.0198792113,0.0003232402,0.0029368984,6.4529912927,1.4842261085,96.2247126956,29.3211451348,18.9555314999,72.6762542065,84.2987638458,4.7963307025,6.3049163421,48.1671297768,78.4875090262,5.5506235223,44.0684207751,29,5,3,10,13,3,4,4,14,4,5,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
28,"20240630","31280",여주시,114645,2443,29746,4642,52,1548,2920529,27,0.021309259,0.259461817,0.040490209,0.000453574,0.013502551,2920528.83,26.558955445,0.0091572692,0.1001850055,0.0172379978,0.0001969401,0.0058248463,6.4654616468,1.4402627527,85.9891208107,26.6989785004,35.0543463812,87.5065641128,61.8536526578,10.0339278697,12.0639141202,49.2474818974,74.6801083853,11.0489209950,44.9921704259,26,4,5,22,2,5,7,5,9,7,6,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
29,"20240630","31550",연천군,41091,846,13166,2130,37,242,2865550,33,0.020588450,0.320410796,0.051836169,0.000900440,0.005889368,2865549.70,33.068807133,0.0088506491,0.1207090664,0.0219481004,0.0003908804,0.0025502176,6.4572080967,1.5323569277,88.5131581341,0.0000000000,6.3451680984,64.7338584944,87.3040449112,6.5674047670,0.0000000000,31.6194420775,76.0189517028,3.2837023835,36.9740320546,27,1,2,7,19,4,1,1,10,3,3,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
30,"20240630","31570",가평군,62393,1120,19257,3392,31,829,2814692,32,0.017950732,0.308640392,0.054360446,0.000496851,0.013286747,2814691.51,31.880806447,0.0077267589,0.1168203211,0.0229891052,0.0002157259,0.0057323624,6.4494309573,1.5169424607,97.7648070697,5.0587225167,0.0000000000,85.3007091633,62.5724368224,3.3009759961,2.0192244110,34.2745098621,73.9365729928,2.6601002036,36.9570610195,30,2,1,19,3,2,3,2,8,2,2,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
31,"20240630","31580",양평군,126273,2471,38141,4917,59,773,2997243,29,0.019568712,0.302051903,0.038939441,0.000467242,0.006121657,2997243.49,29.284536909,0.0084164997,0.1146282968,0.0165902335,0.0002028731,0.0026504974,6.4767221702,1.4812209371,92.0869928828,7.9102444314,39.0026217054,86.8099037177,86.5246707116,14.7633914465,6.6985800000,46.3332863399,86.6672872147,10.7309857232,47.9105197593,28,3,6,21,17,7,5,3,21,6,7,system,2025-06-05 14:02:46.723,system,2025-06-05 14:02:46.723
