"objectid","sgg_cd","sgg_nm","crtr_yr","dgnppn_idx","pmpp_idx","flod_dngr_bdst_idx","flod_dngr_ppltn_idx","flod_dngr_oalp_idx","flod_dngr_fmld_idx","flod_dngr_oldbuld_idx","flod_dngr_dpptn_idx","flod_dngr_cltv_area_idx","dstpvt_fclt_dnsy_idx","acml_dstpvt_bgt_idx","flod_dngr_idx","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
272,"41590",경기도 화성시,"2016",0.4000000000,0.2000000000,0.7000000000,0.6000000000,0.8000000000,0.9000000000,0.5000000000,0.5000000000,0.7000000000,0.5000000000,1.0000000000,0.5552992300,system,2025-05-08 20:14:51.031,system,2025-05-08 20:14:51.031
273,"41610",경기도 광주시,"2016",0.7000000000,0.4000000000,0.7000000000,0.7000000000,0.7000000000,0.6000000000,0.7000000000,0.7000000000,0.7000000000,0.9000000000,1.0000000000,0.7171936500,system,2025-05-08 20:14:51.031,system,2025-05-08 20:14:51.031
274,"41630",경기도 양주시,"2016",0.8000000000,0.8000000000,0.5000000000,0.2000000000,0.3000000000,0.6000000000,0.2000000000,0.2000000000,0.5000000000,0.2000000000,0.8000000000,0.6458135400,system,2025-05-08 20:14:51.031,system,2025-05-08 20:14:51.031
275,"41650",경기도 포천시,"2016",0.5000000000,0.9000000000,0.6000000000,0.3000000000,0.4000000000,0.7000000000,0.3000000000,0.3000000000,0.8000000000,0.6000000000,1.0000000000,0.9264486400,system,2025-05-08 20:14:51.031,system,2025-05-08 20:14:51.031
276,"41670",경기도 여주시,"2016",0.4000000000,0.1000000000,0.8000000000,0.3000000000,0.5000000000,0.9000000000,0.2000000000,0.3000000000,1.0000000000,0.9000000000,1.0000000000,0.6550413900,system,2025-05-08 20:14:51.031,system,2025-05-08 20:14:51.031
277,"41800",경기도 연천군,"2016",0.5000000000,0.9000000000,0.4000000000,0.2000000000,0.1000000000,0.7000000000,0.5000000000,0.2000000000,0.7000000000,1.0000000000,1.0000000000,0.9481612200,system,2025-05-08 20:14:51.031,system,2025-05-08 20:14:51.031
278,"41820",경기도 가평군,"2016",0.5000000000,1.0000000000,0.7000000000,0.4000000000,0.2000000000,0.6000000000,0.4000000000,0.4000000000,0.6000000000,0.8000000000,1.0000000000,0.9394761800,system,2025-05-08 20:14:51.031,system,2025-05-08 20:14:51.031
279,"41830",경기도 양평군,"2016",0.6000000000,0.6000000000,0.8000000000,0.6000000000,0.5000000000,0.8000000000,0.7000000000,0.5000000000,0.7000000000,1.0000000000,1.0000000000,0.8208712200,system,2025-05-08 20:14:51.031,system,2025-05-08 20:14:51.031
280,"41110",경기도 수원시,"2017",0.6000000000,0.6000000000,0.5000000000,0.7000000000,0.7000000000,0.6000000000,0.9000000000,0.7000000000,0.4000000000,0.3000000000,0.5000000000,0.4518930700,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
281,"41130",경기도 성남시,"2017",0.7000000000,0.4000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.1000000000,0.1000000000,0.3000000000,0.4000000000,0.8000000000,0.4137603500,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
282,"41150",경기도 의정부시,"2017",0.9000000000,0.7000000000,0.3000000000,0.4000000000,0.1000000000,0.2000000000,0.3000000000,0.5000000000,0.2000000000,0.5000000000,0.7000000000,0.5156737700,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
283,"41170",경기도 안양시,"2017",0.6000000000,0.4000000000,0.6000000000,1.0000000000,0.8000000000,0.1000000000,1.0000000000,1.0000000000,0.1000000000,1.0000000000,0.4000000000,0.3418374300,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
284,"41190",경기도 부천시,"2017",0.5000000000,0.8000000000,0.3000000000,0.4000000000,0.4000000000,0.5000000000,0.2000000000,0.3000000000,0.2000000000,0.3000000000,0.2000000000,0.3635500100,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
285,"41210",경기도 광명시,"2017",0.6000000000,0.6000000000,0.7000000000,1.0000000000,0.9000000000,0.4000000000,1.0000000000,1.0000000000,0.5000000000,0.3000000000,0.4000000000,0.4619351300,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
286,"41220",경기도 평택시,"2017",0.2000000000,0.3000000000,1.0000000000,0.9000000000,0.9000000000,1.0000000000,0.9000000000,0.9000000000,0.9000000000,1.0000000000,0.9000000000,0.7249287600,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
287,"41250",경기도 동두천시,"2017",0.7000000000,0.4000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.6000000000,0.4000000000,0.2407382300,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
288,"41270",경기도 안산시,"2017",0.3000000000,0.4000000000,0.2000000000,0.3000000000,0.2000000000,0.5000000000,0.3000000000,0.2000000000,0.4000000000,0.8000000000,0.8000000000,0.5114669600,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
289,"41280",경기도 고양시,"2017",1.0000000000,0.7000000000,1.0000000000,1.0000000000,1.0000000000,0.8000000000,1.0000000000,0.9000000000,1.0000000000,0.5000000000,0.7000000000,0.8083864800,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
290,"41290",경기도 과천시,"2017",0.7000000000,0.5000000000,0.1000000000,0.1000000000,0.1000000000,0.3000000000,0.1000000000,0.1000000000,0.3000000000,0.5000000000,0.7000000000,0.4411724800,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
291,"41310",경기도 구리시,"2017",0.9000000000,0.8000000000,0.4000000000,0.9000000000,0.6000000000,0.4000000000,0.8000000000,0.8000000000,0.5000000000,0.1000000000,0.3000000000,0.4831049000,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
292,"41360",경기도 남양주시,"2017",0.8000000000,0.8000000000,0.5000000000,0.7000000000,0.5000000000,0.5000000000,0.4000000000,0.7000000000,0.6000000000,0.7000000000,1.0000000000,0.8419052800,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
293,"41370",경기도 오산시,"2017",0.4000000000,0.4000000000,0.5000000000,0.5000000000,0.4000000000,0.3000000000,0.8000000000,0.5000000000,0.3000000000,0.2000000000,0.6000000000,0.3288098800,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
294,"41390",경기도 시흥시,"2017",0.4000000000,0.6000000000,0.3000000000,0.5000000000,0.5000000000,0.7000000000,0.5000000000,0.5000000000,0.5000000000,0.5000000000,0.7000000000,0.5737549200,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
295,"41410",경기도 군포시,"2017",0.6000000000,0.4000000000,0.2000000000,0.1000000000,0.3000000000,0.2000000000,0.4000000000,0.2000000000,0.1000000000,0.3000000000,0.7000000000,0.3023476700,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
296,"41430",경기도 의왕시,"2017",0.7000000000,0.5000000000,0.1000000000,0.2000000000,0.2000000000,0.2000000000,0.1000000000,0.2000000000,0.2000000000,0.2000000000,0.7000000000,0.3661283800,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
297,"41450",경기도 하남시,"2017",0.9000000000,0.6000000000,0.3000000000,0.8000000000,0.4000000000,0.3000000000,0.5000000000,0.8000000000,0.4000000000,0.1000000000,0.7000000000,0.4852761600,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
298,"41460",경기도 용인시,"2017",0.5000000000,0.4000000000,0.9000000000,0.8000000000,0.8000000000,0.8000000000,0.7000000000,0.8000000000,0.7000000000,0.6000000000,0.7000000000,0.5728049900,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
299,"41480",경기도 파주시,"2017",1.0000000000,0.4000000000,0.9000000000,0.7000000000,0.8000000000,0.9000000000,0.5000000000,0.7000000000,0.8000000000,0.9000000000,0.9000000000,0.7189578000,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
300,"41500",경기도 이천시,"2017",0.3000000000,0.3000000000,0.8000000000,0.5000000000,0.6000000000,1.0000000000,0.6000000000,0.5000000000,1.0000000000,1.0000000000,0.9000000000,0.7408060800,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
301,"41550",경기도 안성시,"2017",0.2000000000,0.4000000000,0.8000000000,0.5000000000,0.6000000000,1.0000000000,0.9000000000,0.6000000000,0.9000000000,0.9000000000,1.0000000000,0.7770389500,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
302,"41570",경기도 김포시,"2017",1.0000000000,0.4000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.5000000000,0.9000000000,0.8000000000,0.8000000000,0.7000000000,0.6425566600,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
303,"41590",경기도 화성시,"2017",0.3000000000,0.3000000000,0.7000000000,0.6000000000,0.9000000000,0.9000000000,0.5000000000,0.5000000000,0.7000000000,0.4000000000,0.9000000000,0.5554349300,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
304,"41610",경기도 광주시,"2017",0.7000000000,0.4000000000,0.7000000000,0.7000000000,0.7000000000,0.6000000000,0.7000000000,0.7000000000,0.7000000000,0.9000000000,1.0000000000,0.7171936500,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
305,"41630",경기도 양주시,"2017",0.9000000000,0.6000000000,0.5000000000,0.2000000000,0.3000000000,0.6000000000,0.2000000000,0.2000000000,0.5000000000,0.2000000000,0.8000000000,0.5497353800,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
306,"41650",경기도 포천시,"2017",0.6000000000,0.7000000000,0.6000000000,0.3000000000,0.4000000000,0.7000000000,0.3000000000,0.3000000000,0.8000000000,0.6000000000,0.9000000000,0.7963088600,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
307,"41670",경기도 여주시,"2017",0.4000000000,0.5000000000,0.7000000000,0.3000000000,0.5000000000,0.9000000000,0.2000000000,0.3000000000,1.0000000000,0.9000000000,0.9000000000,0.8136789300,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
308,"41800",경기도 연천군,"2017",0.6000000000,0.4000000000,0.4000000000,0.2000000000,0.1000000000,0.7000000000,0.6000000000,0.2000000000,0.7000000000,1.0000000000,1.0000000000,0.7076944000,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
309,"41820",경기도 가평군,"2017",0.5000000000,0.8000000000,0.7000000000,0.4000000000,0.3000000000,0.6000000000,0.4000000000,0.4000000000,0.6000000000,0.8000000000,1.0000000000,0.8450264600,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
310,"41830",경기도 양평군,"2017",0.5000000000,0.7000000000,0.8000000000,0.6000000000,0.5000000000,0.8000000000,0.8000000000,0.6000000000,0.7000000000,1.0000000000,1.0000000000,0.8709458500,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
311,"41110",경기도 수원시,"2019",0.6000000000,0.2000000000,0.5000000000,0.8000000000,0.8000000000,0.5000000000,0.9000000000,0.7000000000,0.4000000000,0.3000000000,0.3000000000,0.1933776600,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
312,"41130",경기도 성남시,"2019",0.8000000000,0.3000000000,0.2000000000,0.2000000000,0.3000000000,0.2000000000,0.1000000000,0.2000000000,0.2000000000,0.4000000000,0.4000000000,0.2009770700,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
313,"41150",경기도 의정부시,"2019",1.0000000000,0.3000000000,0.2000000000,0.5000000000,0.1000000000,0.2000000000,0.3000000000,0.5000000000,0.2000000000,0.5000000000,0.5000000000,0.2558013300,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
314,"41170",경기도 안양시,"2019",0.6000000000,0.2000000000,0.6000000000,1.0000000000,0.8000000000,0.1000000000,1.0000000000,1.0000000000,0.1000000000,1.0000000000,0.2000000000,0.1773646400,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
315,"41190",경기도 부천시,"2019",0.5000000000,0.3000000000,0.3000000000,0.4000000000,0.5000000000,0.4000000000,0.2000000000,0.4000000000,0.3000000000,0.2000000000,0.1000000000,0.1092414200,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
316,"41210",경기도 광명시,"2019",0.6000000000,0.2000000000,0.7000000000,1.0000000000,1.0000000000,0.4000000000,1.0000000000,1.0000000000,0.5000000000,0.2000000000,0.2000000000,0.1874067000,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
317,"41220",경기도 평택시,"2019",0.1000000000,0.1000000000,1.0000000000,0.9000000000,1.0000000000,1.0000000000,0.9000000000,0.9000000000,0.9000000000,0.7000000000,0.8000000000,0.5493282700,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
318,"41250",경기도 동두천시,"2019",0.9000000000,0.5000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.5000000000,0.4000000000,0.2738499100,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
319,"41270",경기도 안산시,"2019",0.3000000000,0.1000000000,0.2000000000,0.3000000000,0.2000000000,0.5000000000,0.3000000000,0.2000000000,0.4000000000,0.6000000000,0.6000000000,0.2676075500,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
320,"41280",경기도 고양시,"2019",1.0000000000,0.6000000000,1.0000000000,1.0000000000,1.0000000000,0.8000000000,1.0000000000,1.0000000000,1.0000000000,0.5000000000,0.4000000000,0.6600624200,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
321,"41290",경기도 과천시,"2019",0.8000000000,0.3000000000,0.1000000000,0.1000000000,0.2000000000,0.3000000000,0.1000000000,0.1000000000,0.3000000000,0.3000000000,0.5000000000,0.2476591100,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
322,"41310",경기도 구리시,"2019",1.0000000000,0.3000000000,0.4000000000,0.8000000000,0.6000000000,0.4000000000,0.8000000000,0.8000000000,0.5000000000,0.1000000000,0.1000000000,0.1737006400,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
323,"41360",경기도 남양주시,"2019",0.9000000000,0.3000000000,0.6000000000,0.7000000000,0.6000000000,0.4000000000,0.4000000000,0.7000000000,0.6000000000,0.6000000000,0.9000000000,0.5532636700,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
324,"41370",경기도 오산시,"2019",0.3000000000,0.3000000000,0.5000000000,0.5000000000,0.4000000000,0.3000000000,0.8000000000,0.6000000000,0.2000000000,0.2000000000,0.4000000000,0.1817071500,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
325,"41390",경기도 시흥시,"2019",0.4000000000,0.2000000000,0.3000000000,0.5000000000,0.5000000000,0.6000000000,0.4000000000,0.5000000000,0.6000000000,0.5000000000,0.5000000000,0.3450943100,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
326,"41410",경기도 군포시,"2019",0.6000000000,0.1000000000,0.2000000000,0.1000000000,0.3000000000,0.2000000000,0.4000000000,0.1000000000,0.1000000000,0.4000000000,0.4000000000,0.0692088500,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
327,"41430",경기도 의왕시,"2019",0.7000000000,0.2000000000,0.1000000000,0.2000000000,0.2000000000,0.1000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.5000000000,0.1533450900,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
328,"41450",경기도 하남시,"2019",0.9000000000,0.5000000000,0.3000000000,0.9000000000,0.7000000000,0.3000000000,0.4000000000,0.9000000000,0.3000000000,0.1000000000,0.5000000000,0.3446872000,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
329,"41460",경기도 용인시,"2019",0.5000000000,0.4000000000,0.9000000000,0.8000000000,0.8000000000,0.8000000000,0.7000000000,0.8000000000,0.8000000000,0.6000000000,0.6000000000,0.5713122500,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
330,"41480",경기도 파주시,"2019",1.0000000000,0.8000000000,0.9000000000,0.7000000000,0.9000000000,0.9000000000,0.5000000000,0.8000000000,0.9000000000,0.8000000000,0.8000000000,0.8984936900,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
331,"41500",경기도 이천시,"2019",0.3000000000,0.2000000000,0.9000000000,0.5000000000,0.6000000000,1.0000000000,0.6000000000,0.5000000000,1.0000000000,1.0000000000,0.8000000000,0.6585696800,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
332,"41550",경기도 안성시,"2019",0.1000000000,0.2000000000,0.9000000000,0.6000000000,0.6000000000,1.0000000000,0.9000000000,0.6000000000,0.9000000000,0.9000000000,0.9000000000,0.6470348800,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
333,"41570",경기도 김포시,"2019",1.0000000000,0.8000000000,1.0000000000,0.9000000000,1.0000000000,0.8000000000,0.6000000000,0.9000000000,0.9000000000,0.8000000000,0.5000000000,0.8014656000,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
334,"41590",경기도 화성시,"2019",0.3000000000,0.2000000000,0.8000000000,0.6000000000,0.9000000000,0.9000000000,0.5000000000,0.5000000000,0.7000000000,0.4000000000,0.7000000000,0.4391369300,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
335,"41610",경기도 광주시,"2019",0.7000000000,0.4000000000,0.7000000000,0.8000000000,0.7000000000,0.6000000000,0.7000000000,0.7000000000,0.7000000000,0.9000000000,0.9000000000,0.6838105600,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
336,"41630",경기도 양주시,"2019",1.0000000000,0.6000000000,0.5000000000,0.2000000000,0.3000000000,0.5000000000,0.2000000000,0.2000000000,0.5000000000,0.2000000000,0.6000000000,0.4816121600,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
337,"41650",경기도 포천시,"2019",0.8000000000,0.3000000000,0.6000000000,0.3000000000,0.4000000000,0.7000000000,0.3000000000,0.3000000000,0.8000000000,0.6000000000,0.9000000000,0.6041525300,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
338,"41670",경기도 여주시,"2019",0.4000000000,0.1000000000,0.8000000000,0.3000000000,0.5000000000,1.0000000000,0.2000000000,0.3000000000,1.0000000000,0.9000000000,0.8000000000,0.5871895800,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
339,"41800",경기도 연천군,"2019",0.8000000000,0.4000000000,0.4000000000,0.2000000000,0.1000000000,0.7000000000,0.6000000000,0.3000000000,0.6000000000,1.0000000000,0.9000000000,0.6436422900,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
340,"41820",경기도 가평군,"2019",0.6000000000,0.3000000000,0.7000000000,0.4000000000,0.3000000000,0.6000000000,0.5000000000,0.4000000000,0.6000000000,0.8000000000,1.0000000000,0.6045596400,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
341,"41830",경기도 양평군,"2019",0.6000000000,0.2000000000,0.8000000000,0.6000000000,0.6000000000,0.7000000000,0.8000000000,0.6000000000,0.8000000000,0.7000000000,0.9000000000,0.5836612800,system,2025-05-08 20:15:50.869,system,2025-05-08 20:15:50.869
342,"41110",경기도 수원시,"2020",0.2000000000,0.7000000000,0.5000000000,0.8000000000,0.8000000000,0.5000000000,0.8000000000,0.7000000000,0.4000000000,0.3000000000,0.2000000000,0.3989686500,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
343,"41130",경기도 성남시,"2020",0.4000000000,0.8000000000,0.2000000000,0.2000000000,0.3000000000,0.2000000000,0.1000000000,0.2000000000,0.2000000000,0.3000000000,0.4000000000,0.4251594500,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
344,"41150",경기도 의정부시,"2020",0.8000000000,0.9000000000,0.2000000000,0.5000000000,0.1000000000,0.2000000000,0.3000000000,0.5000000000,0.2000000000,0.4000000000,0.4000000000,0.4946397100,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
345,"41170",경기도 안양시,"2020",0.3000000000,0.6000000000,0.6000000000,1.0000000000,0.8000000000,0.1000000000,1.0000000000,1.0000000000,0.1000000000,1.0000000000,0.2000000000,0.3692495600,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
346,"41190",경기도 부천시,"2020",0.3000000000,0.3000000000,0.3000000000,0.5000000000,0.5000000000,0.4000000000,0.2000000000,0.4000000000,0.3000000000,0.2000000000,0.1000000000,0.1093771200,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
347,"41210",경기도 광명시,"2020",0.3000000000,0.4000000000,0.7000000000,1.0000000000,1.0000000000,0.4000000000,1.0000000000,1.0000000000,0.5000000000,0.2000000000,0.2000000000,0.2829420600,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
348,"41220",경기도 평택시,"2020",0.1000000000,0.5000000000,1.0000000000,0.9000000000,1.0000000000,1.0000000000,0.9000000000,0.9000000000,0.9000000000,0.7000000000,0.7000000000,0.7079658000,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
349,"41250",경기도 동두천시,"2020",0.8000000000,0.8000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.5000000000,0.3000000000,0.3840412500,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
350,"41270",경기도 안산시,"2020",0.1000000000,0.2000000000,0.2000000000,0.3000000000,0.2000000000,0.5000000000,0.3000000000,0.3000000000,0.4000000000,0.6000000000,0.5000000000,0.2832134600,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
351,"41280",경기도 고양시,"2020",0.8000000000,0.5000000000,1.0000000000,1.0000000000,1.0000000000,0.8000000000,1.0000000000,1.0000000000,1.0000000000,0.5000000000,0.3000000000,0.5772832100,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
352,"41290",경기도 과천시,"2020",0.4000000000,0.8000000000,0.1000000000,0.1000000000,0.2000000000,0.3000000000,0.1000000000,0.1000000000,0.3000000000,0.3000000000,0.4000000000,0.4533858100,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
