"objectid","sigun_nm","sigun_cd","crtr_yr","flod_dngr_idx","flod_dng_rnk","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
221,김포시,"41570","2023",0.5760618800,11,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
220,화성시,"41590","2023",0.6148731200,10,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
219,광주시,"41610","2023",0.6333288100,9,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
233,양주시,"41630","2023",0.2578368800,24,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
224,포천시,"41650","2023",0.5041389600,14,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
215,여주시,"41670","2023",0.6797394500,5,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
216,연천군,"41800","2023",0.6737684900,6,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
213,가평군,"41820","2023",0.7493554100,3,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
222,양평군,"41830","2023",0.5634414400,12,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
200,수원시,"41110","2022",0.5117383600,21,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
204,성남시,"41130","2022",0.4525715800,25,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
210,의정부시,"41150","2022",0.4267879000,31,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
201,안양시,"41170","2022",0.4988465200,22,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
205,부천시,"41190","2022",0.4489075900,26,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
199,광명시,"41210","2022",0.5382005700,19,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
189,평택시,"41220","2022",0.7984801200,9,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
208,동두천시,"41250","2022",0.4324874500,29,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
247,안산시,"41270","2022",0.5345365700,20,system,2025-07-03 13:50:31.214,system,2025-07-03 13:50:31.214
194,고양시,"41280","2022",0.7205862400,14,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
202,과천시,"41290","2022",0.4674989800,23,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
209,구리시,"41310","2022",0.4316732300,30,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
191,남양주시,"41360","2022",0.7579047400,11,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
207,오산시,"41370","2022",0.4358800400,28,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
196,시흥시,"41390","2022",0.6299362200,16,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
206,군포시,"41410","2022",0.4358800400,27,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
203,의왕시,"41430","2022",0.4596281700,24,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
198,하남시,"41450","2022",0.5514995300,18,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
195,용인시,"41460","2022",0.7083729100,15,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
186,파주시,"41480","2022",0.8447550500,6,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
183,이천시,"41500","2022",0.8978151700,3,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
187,안성시,"41550","2022",0.8066223400,7,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
193,김포시,"41570","2022",0.7355136400,13,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
192,화성시,"41590","2022",0.7566834000,12,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
181,광주시,"41610","2022",0.9081286500,1,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
197,양주시,"41630","2022",0.6264079300,17,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
190,포천시,"41650","2022",0.7931876800,10,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
184,여주시,"41670","2022",0.8697245200,4,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
188,연천군,"41800","2022",0.8041796700,8,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
185,가평군,"41820","2022",0.8455692800,5,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
182,양평군,"41830","2022",0.9018862800,2,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
171,수원시,"41110","2021",0.1240331100,22,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
177,성남시,"41130","2021",0.0536029300,28,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
179,의정부시,"41150","2021",0.0409824900,30,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
174,안양시,"41170","2021",0.0806079500,25,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
175,부천시,"41190","2021",0.0613380400,26,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
169,광명시,"41210","2021",0.1525308700,19,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
156,평택시,"41220","2021",0.5293798300,6,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
178,동두천시,"41250","2021",0.0468177500,29,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
246,안산시,"41270","2021",0.1347537000,20,system,2025-07-03 13:50:31.214,system,2025-07-03 13:50:31.214
165,고양시,"41280","2021",0.3505224600,15,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
170,과천시,"41290","2021",0.1300040700,21,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
173,구리시,"41310","2021",0.0937712000,24,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
164,남양주시,"41360","2021",0.3559506000,14,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
172,오산시,"41370","2021",0.1001492700,23,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
166,시흥시,"41390","2021",0.2278463800,16,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
180,군포시,"41410","2021",0.0000000000,31,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
176,의왕시,"41430","2021",0.0595738900,27,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
168,하남시,"41450","2021",0.1659655300,18,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
162,용인시,"41460","2021",0.4052110200,12,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
159,파주시,"41480","2021",0.4932826700,9,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
151,이천시,"41500","2021",0.6910028500,1,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
152,안성시,"41550","2021",0.6459492500,2,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
161,김포시,"41570","2021",0.4323517400,11,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
163,화성시,"41590","2021",0.3711494100,13,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
155,광주시,"41610","2021",0.5409146400,5,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
167,양주시,"41630","2021",0.2064052100,17,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
160,포천시,"41650","2021",0.4395440400,10,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
153,여주시,"41670","2021",0.6166372600,3,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
157,연천군,"41800","2021",0.5151309500,7,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
158,가평군,"41820","2021",0.4939611900,8,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
154,양평군,"41830","2021",0.5487854500,4,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
85,수원시,"41110","2018",0.4176957500,26,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
81,성남시,"41130","2018",0.4940968900,22,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
76,의정부시,"41150","2018",0.6266793300,16,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
69,김포시,"41570","2018",0.8355272100,9,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
77,화성시,"41590","2018",0.6178586000,17,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
67,광주시,"41610","2018",0.8623965300,7,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
74,양주시,"41630","2018",0.7086443200,14,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
63,포천시,"41650","2018",0.9413760400,3,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
72,여주시,"41670","2018",0.7808386500,12,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
61,연천군,"41800","2018",0.9972859300,1,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
65,가평군,"41820","2018",0.8934726600,5,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
71,양평군,"41830","2018",0.7906093100,11,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
28,수원시,"41110","2016",0.2932555300,29,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
25,성남시,"41130","2016",0.3996471700,26,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
14,의정부시,"41150","2016",0.6439136900,14,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
19,안양시,"41170","2016",0.4725200200,19,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
30,부천시,"41190","2016",0.1518523500,31,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
24,광명시,"41210","2016",0.3999185800,25,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
10,평택시,"41220","2016",0.6626407900,10,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
23,동두천시,"41250","2016",0.4334373700,23,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
241,안산시,"41270","2016",0.4156602000,24,system,2025-07-03 13:50:31.214,system,2025-07-03 13:50:31.214
6,고양시,"41280","2016",0.8424480900,6,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
18,과천시,"41290","2016",0.5234088800,18,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
22,구리시,"41310","2016",0.4352015200,22,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
5,남양주시,"41360","2016",0.8900800700,5,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
29,오산시,"41370","2016",0.2027412100,30,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
20,시흥시,"41390","2016",0.4619351300,20,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
27,군포시,"41410","2016",0.3003121200,28,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
26,의왕시,"41430","2016",0.3502510500,27,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
17,하남시,"41450","2016",0.5303297600,17,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
21,용인시,"41460","2016",0.4603066900,21,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
1,파주시,"41480","2016",0.9936219300,1,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
13,이천시,"41500","2016",0.6447279100,13,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
15,안성시,"41550","2016",0.6300719200,15,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
8,김포시,"41570","2016",0.7870810200,8,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
80,안양시,"41170","2018",0.5004749600,20,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
90,부천시,"41190","2018",0.0922784600,31,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
88,광명시,"41210","2018",0.3159180400,29,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
73,평택시,"41220","2018",0.7760890200,13,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
79,동두천시,"41250","2018",0.5303297600,19,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
243,안산시,"41270","2018",0.4943683000,21,system,2025-07-03 13:50:31.214,system,2025-07-03 13:50:31.214
66,고양시,"41280","2018",0.8847876200,6,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
84,과천시,"41290","2018",0.4259736700,25,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
89,구리시,"41310","2018",0.3047903400,30,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
68,남양주시,"41360","2018",0.8440765400,8,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
87,오산시,"41370","2018",0.3426516500,28,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
78,시흥시,"41390","2018",0.5376577600,18,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
86,군포시,"41410","2018",0.3923191800,27,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
82,의왕시,"41430","2018",0.4767268300,23,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
83,하남시,"41450","2018",0.4532501000,24,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
75,용인시,"41460","2018",0.6832677400,15,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
62,파주시,"41480","2018",0.9924006000,2,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
64,이천시,"41500","2018",0.9178993100,4,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
70,안성시,"41550","2018",0.8252137300,10,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
