"crtr_ymd","admdst_nm","admdst_se_cd","admdst_cd","sum_genqy","sum_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt","grnd_rftp_se_cd"
"2025    ",경기도,ADM001,"41000",387533889.7840733883,4741.403300000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",수원시,ADM002,"4111000000",7437128.3570342060,94.486600000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",광명시,ADM002,"4121000000",4348208.5454139700,25.794500000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",평택시,ADM002,"4122000000",57921132.8319272800,358.669700000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",동두천시,ADM002,"4125000000",3998879.3613357556,24.886600000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",안산시,ADM002,"4127000000",8750857.1946845052,102.790400000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",고양시,ADM002,"4128000000",13994248.1739048967,170.203300000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",과천시,ADM002,"4129000000",2346469.9083395004,13.865700000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",구리시,ADM002,"4131000000",3338197.0842742898,19.978800000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",남양주시,ADM002,"4136000000",24980265.6168642296,151.776100000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ","",ADM003,"4183000000",35235730.9226980556,212.849600000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF001
"2025    ",경기도,ADM001,"41000",365451279.2691402783,4184.092000000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",경기도,ADM001,"41000",22082610.5149331100,333.284400000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",수원시,ADM002,"4111000000",6474098.6815805428,74.202700000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",오산시,ADM002,"4137000000",5636435.4319581990,33.493000000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",시흥시,ADM002,"4139000000",16835397.3650951350,100.686200000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",군포시,ADM002,"4141000000",3458646.1122102748,20.458500000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",의왕시,ADM002,"4143000000",3940687.7944917684,23.298000000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",수원시,ADM002,"4111000000",963029.6754536632,14.585900000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",성남시,ADM002,"4113000000",4847745.5816822059,55.426700000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",성남시,ADM002,"4113000000",652483.4106793402,9.854100000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",의정부시,ADM002,"4115000000",2557759.7094345090,29.511200000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",의정부시,ADM002,"4115000000",331729.7838916780,5.050500000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",안양시,ADM002,"4117000000",1880354.3126277930,21.413000000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",안양시,ADM002,"4117000000",371658.0113511083,5.587500000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",부천시,ADM002,"4119000000",3176371.0044679661,36.022400000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",부천시,ADM002,"4119000000",625065.8722906112,9.347500000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",광명시,ADM002,"4121000000",1963085.2638435360,22.147800000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",광명시,ADM002,"4121000000",211019.0088634490,3.143500000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",평택시,ADM002,"4122000000",27465631.6515197661,310.593600000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",평택시,ADM002,"4122000000",1494934.7644438739,22.331700000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",동두천시,ADM002,"4125000000",1839073.8207159046,21.458800000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",동두천시,ADM002,"4125000000",160365.8599519732,2.468200000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",안산시,ADM002,"4127000000",7773620.6950864784,86.720000000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",안산시,ADM002,"4127000000",977236.4995980268,14.520300000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",고양시,ADM002,"4128000000",12810402.3080348975,145.626600000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",고양시,ADM002,"4128000000",1183845.8658699992,17.771900000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",과천시,ADM002,"4129000000",1081191.5959558487,12.306200000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",과천시,ADM002,"4129000000",92043.3582139015,1.382400000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",구리시,ADM002,"4131000000",1504764.4375143040,17.207600000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",구리시,ADM002,"4131000000",164334.1046228409,2.475500000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",남양주시,ADM002,"4136000000",11512396.7119751099,132.252100000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",남양주시,ADM002,"4136000000",977736.0964570049,14.836500000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",오산시,ADM002,"4137000000",2563394.0927057268,29.246900000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",오산시,ADM002,"4137000000",254823.6232733727,3.838300000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",시흥시,ADM002,"4139000000",7619375.9148244836,86.063300000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",시흥시,ADM002,"4139000000",798322.7677230839,11.892000000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",군포시,ADM002,"4141000000",1526104.8214969639,17.291700000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",군포시,ADM002,"4141000000",203218.2346081735,3.043100000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",의왕시,ADM002,"4143000000",1830010.9598226550,20.822300000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",의왕시,ADM002,"4143000000",140332.9374232292,2.105700000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",하남시,ADM002,"4145000000",3043656.3308219907,34.938100000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",하남시,ADM002,"4145000000",339174.8942785262,5.135900000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",용인시,ADM002,"4146000000",22229432.2078142227,254.656600000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",용인시,ADM002,"4146000000",1453764.4193925862,22.001900000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",파주시,ADM002,"4148000000",26673242.1134614995,304.585900000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",파주시,ADM002,"4148000000",1185753.7226147651,17.899700000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",이천시,ADM002,"4150000000",25216783.7474060029,293.060500000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",하남시,ADM002,"4145000000",6765662.4502010338,40.809200000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",용인시,ADM002,"4146000000",23683196.6272068089,282.027700000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",파주시,ADM002,"4148000000",55717991.6721525292,362.342900000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",이천시,ADM002,"4150000000",52480374.3388051928,318.252100000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",양평군,ADM002,"4183000000",35235730.9226980556,212.849600000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",장안구,ADM003,"4111100000",1469016.3534421914,17.744700000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",권선구,ADM003,"4111300000",3182757.5711135868,42.980400000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",팔달구,ADM003,"4111500000",965884.0797290801,11.780300000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",영통구,ADM003,"4111700000",1819470.3527493477,21.981200000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",수정구,ADM003,"4113100000",1592639.7401881232,19.969100000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",중원구,ADM003,"4113300000",1034206.3939590460,12.548800000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",분당구,ADM003,"4113500000",2873382.8582143769,35.182200000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ","",ADM003,"4115000000",5778978.9866523740,35.269200000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",만안구,ADM003,"4117100000",1075686.7144331920,12.982400000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",동안구,ADM003,"4117300000",1176325.6095457093,14.315300000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",원미구,ADM003,"4119200000",1489223.8119683269,17.956300000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",소사구,ADM003,"4119400000",851398.1955223089,10.164000000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",오정구,ADM003,"4119600000",1460814.8692679415,17.501900000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ","",ADM003,"4121000000",4348208.5454139700,25.794500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ","",ADM003,"4122000000",57921132.8319272800,358.669700000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ","",ADM003,"4125000000",3998879.3613357556,24.886600000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",상록구,ADM003,"4127100000",3155210.0665478713,37.028300000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",단원구,ADM003,"4127300000",5595647.1281366339,65.762100000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",덕양구,ADM003,"4128100000",7159264.7623419756,86.182700000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",일산동구,ADM003,"4128500000",3872215.9345951090,47.562500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",일산서구,ADM003,"4128700000",2962767.4769678121,36.458100000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",이천시,ADM002,"4150000000",1023403.4219965935,15.701300000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",안성시,ADM002,"4155000000",24436507.8847827912,280.203300000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",안성시,ADM002,"4155000000",993053.4880023001,15.039600000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",김포시,ADM002,"4157000000",14604660.4615230480,165.846400000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",김포시,ADM002,"4157000000",1044916.9168562887,15.650500000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",화성시,ADM002,"4159000000",41380135.1757698147,466.091100000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",화성시,ADM002,"4159000000",2244193.5545277591,33.451200000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",광주시,ADM002,"4161000000",9876115.9502267810,113.717500000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",광주시,ADM002,"4161000000",787269.6198234559,11.962000000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",양주시,ADM002,"4163000000",10587809.5075788470,122.963200000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",양주시,ADM002,"4163000000",720379.9504027367,11.055400000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",포천시,ADM002,"4165000000",19704360.8831348440,230.519300000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",포천시,ADM002,"4165000000",944856.3235859874,14.596800000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",여주시,ADM002,"4167000000",26013849.8239822493,301.317400000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",여주시,ADM002,"4167000000",670836.9062843317,10.261700000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",연천군,ADM002,"4180000000",17132206.0913772640,197.045800000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",연천군,ADM002,"4180000000",263380.9945402144,4.004700000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",가평군,ADM002,"4182000000",9026633.4806365900,104.239900000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",가평군,ADM002,"4182000000",292085.0138988496,4.444500000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",양평군,ADM002,"4183000000",17100504.0473356420,196.594100000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",양평군,ADM002,"4183000000",517361.4140133858,7.844600000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",장안구,ADM003,"4111100000",1267815.9749383919,14.549600000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF002
"2025    ",장안구,ADM003,"4111100000",201200.3785037995,3.049300000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF003
"2025    ",권선구,ADM003,"4111300000",2859662.8312215808,32.663000000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",권선구,ADM003,"4111300000",323094.7398920060,4.877400000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",팔달구,ADM003,"4111500000",777534.9512014386,8.917900000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",팔달구,ADM003,"4111500000",188349.1285276415,2.851100000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",영통구,ADM003,"4111700000",1569084.9242191315,18.072200000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",영통구,ADM003,"4111700000",250385.4285302162,3.808100000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
