"crtr_ymd","admdst_nm","admdst_se_cd","admdst_cd","sum_genqy","sum_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt","grnd_rftp_se_cd"
"2025    ",수정구,ADM003,"4113100000",1409454.0198421492,16.134900000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",수정구,ADM003,"4113100000",183185.7203459740,2.771600000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",중원구,ADM003,"4113300000",865885.4096717841,9.916300000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",중원구,ADM003,"4113300000",168320.9842872619,2.544500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",분당구,ADM003,"4113500000",2572406.1521682726,29.375500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",분당구,ADM003,"4113500000",300976.7060461043,4.538000000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4115000000",2557759.7094345090,29.511200000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4115000000",331729.7838916780,5.050500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4129000000",2346469.9083395004,13.865700000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ","",ADM003,"4131000000",3338197.0842742898,19.978800000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ","",ADM003,"4136000000",24980265.6168642296,151.776100000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ","",ADM003,"4137000000",5636435.4319581990,33.493000000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ","",ADM003,"4139000000",16835397.3650951350,100.686200000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ","",ADM003,"4141000000",3458646.1122102748,20.458500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ","",ADM003,"4143000000",3940687.7944917684,23.298000000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ","",ADM003,"4145000000",6765662.4502010338,40.809200000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",만안구,ADM003,"4117100000",895005.1895675650,10.154200000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",만안구,ADM003,"4117100000",180681.5248656270,2.707700000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",동안구,ADM003,"4117300000",985349.1230602280,11.258800000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",동안구,ADM003,"4117300000",190976.4864854813,2.879800000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",원미구,ADM003,"4119200000",1191823.4180774692,13.490600000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",원미구,ADM003,"4119200000",297400.3938908577,4.443500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",소사구,ADM003,"4119400000",710235.5432786947,8.040900000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",소사구,ADM003,"4119400000",141162.6522436142,2.109500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",오정구,ADM003,"4119600000",1274312.0431118022,14.490900000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",오정구,ADM003,"4119600000",186502.8261561393,2.794500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4121000000",1963085.2638435360,22.147800000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4121000000",211019.0088634490,3.143500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4122000000",27465631.6515197661,310.593600000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4122000000",1494934.7644438739,22.331700000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4125000000",1839073.8207159046,21.458800000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4125000000",160365.8599519732,2.468200000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",상록구,ADM003,"4127100000",2850243.2321643834,32.130700000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",상록구,ADM003,"4127100000",304966.8343834879,4.537300000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",단원구,ADM003,"4127300000",4923377.4629220950,54.589300000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",단원구,ADM003,"4127300000",672269.6652145389,9.983000000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",덕양구,ADM003,"4128100000",6681082.4982738485,76.076000000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",덕양구,ADM003,"4128100000",478182.2640681271,7.191300000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",일산동구,ADM003,"4128500000",3442481.7900085460,39.149700000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",일산동구,ADM003,"4128500000",429734.1445865630,6.452100000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",일산서구,ADM003,"4128700000",2686838.0197525030,30.400900000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",일산서구,ADM003,"4128700000",275929.4572153091,4.128500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4129000000",1081191.5959558487,12.306200000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4129000000",92043.3582139015,1.382400000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4131000000",1504764.4375143040,17.207600000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4131000000",164334.1046228409,2.475500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4136000000",11512396.7119751099,132.252100000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4136000000",977736.0964570049,14.836500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4137000000",2563394.0927057268,29.246900000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4137000000",254823.6232733727,3.838300000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4139000000",7619375.9148244836,86.063300000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4139000000",798322.7677230839,11.892000000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4141000000",1526104.8214969639,17.291700000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4141000000",203218.2346081735,3.043100000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4143000000",1830010.9598226550,20.822300000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4143000000",140332.9374232292,2.105700000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4145000000",3043656.3308219907,34.938100000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4145000000",339174.8942785262,5.135900000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",처인구,ADM003,"4146100000",16936303.4528093407,193.832700000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",처인구,ADM003,"4146100000",884875.1432037357,13.370500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",기흥구,ADM003,"4146300000",3762377.0020198810,43.239500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",기흥구,ADM003,"4146300000",382967.1885004044,5.811100000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",수지구,ADM003,"4146500000",1530751.7529850010,17.584400000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",수지구,ADM003,"4146500000",185922.0876884461,2.820300000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4148000000",26673242.1134614995,304.585900000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4148000000",1185753.7226147651,17.899700000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4150000000",25216783.7474060029,293.060500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4150000000",1023403.4219965935,15.701300000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4155000000",24436507.8847827912,280.203300000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4155000000",993053.4880023001,15.039600000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF003
"2025    ","",ADM003,"4157000000",14604660.4615230480,165.846400000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF002
"2025    ","",ADM003,"4157000000",1044916.9168562887,15.650500000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF003
"2025    ","",ADM003,"4159000000",41380135.1757698147,466.091100000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF002
"2025    ","",ADM003,"4159000000",2244193.5545277591,33.451200000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF003
"2025    ","",ADM003,"4161000000",9876115.9502267810,113.717500000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF002
"2025    ","",ADM003,"4161000000",787269.6198234559,11.962000000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF003
"2025    ","",ADM003,"4163000000",10587809.5075788470,122.963200000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF002
"2025    ","",ADM003,"4163000000",720379.9504027367,11.055400000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF003
"2025    ","",ADM003,"4165000000",19704360.8831348440,230.519300000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF002
"2025    ","",ADM003,"4165000000",944856.3235859874,14.596800000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF003
"2025    ","",ADM003,"4167000000",26013849.8239822493,301.317400000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF002
"2025    ","",ADM003,"4167000000",670836.9062843317,10.261700000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF003
"2025    ","",ADM003,"4180000000",17132206.0913772640,197.045800000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF002
"2025    ","",ADM003,"4180000000",263380.9945402144,4.004700000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF003
"2025    ","",ADM003,"4182000000",9026633.4806365900,104.239900000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF002
"2025    ","",ADM003,"4182000000",292085.0138988496,4.444500000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF003
"2025    ","",ADM003,"4183000000",17100504.0473356420,196.594100000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF002
"2025    ","",ADM003,"4183000000",517361.4140133858,7.844600000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF003
"2025    ",처인구,ADM003,"4146100000",17821178.5960130764,212.136700000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",기흥구,ADM003,"4146300000",4145344.1905202854,49.331600000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ",성남시,ADM002,"4113000000",5500228.9923615461,67.700100000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",의정부시,ADM002,"4115000000",5778978.9866523740,35.269200000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",안양시,ADM002,"4117000000",2252012.3239789013,27.297700000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",부천시,ADM002,"4119000000",3801436.8767585773,45.622200000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",안성시,ADM002,"4155000000",50859122.7455701826,311.737200000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",김포시,ADM002,"4157000000",31299154.7567586734,196.418500000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",화성시,ADM002,"4159000000",87248657.4605951476,512.167000000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",광주시,ADM002,"4161000000",21326771.1401004738,129.421100000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",양주시,ADM002,"4163000000",22616378.9159631674,139.303000000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",포천시,ADM002,"4165000000",41298434.4134416628,259.081700000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",여주시,ADM002,"4167000000",53369373.4605331620,323.711900000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",연천군,ADM002,"4180000000",34791174.1718349568,222.847500000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",가평군,ADM002,"4182000000",18637436.9890708792,114.157300000,system,2025-07-14 22:23:09.445,system,2025-07-14 22:23:09.445,GRF001
"2025    ",수지구,ADM003,"4146500000",1716673.8406734471,20.559400000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ","",ADM003,"4148000000",55717991.6721525292,362.342900000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ","",ADM003,"4150000000",52480374.3388051928,318.252100000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ","",ADM003,"4155000000",50859122.7455701826,311.737200000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF001
"2025    ","",ADM003,"4157000000",31299154.7567586734,196.418500000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF001
"2025    ","",ADM003,"4159000000",87248657.4605951476,512.167000000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF001
"2025    ","",ADM003,"4161000000",21326771.1401004738,129.421100000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF001
"2025    ","",ADM003,"4163000000",22616378.9159631674,139.303000000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF001
"2025    ","",ADM003,"4165000000",41298434.4134416628,259.081700000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF001
"2025    ","",ADM003,"4167000000",53369373.4605331620,323.711900000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF001
"2025    ","",ADM003,"4180000000",34791174.1718349568,222.847500000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF001
"2025    ","",ADM003,"4182000000",18637436.9890708792,114.157300000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF001
